"This value will be used as productID in the Rich Snippets and as retailer_item_id in the Open Graph tags.<br/>
                                Recommended attributes are: sku, gtin, isbn, etc.","This value will be used as productID in the Rich Snippets and as retailer_item_id in the Open Graph tags.<br/>
                                Recommended attributes are: sku, gtin, isbn, etc."
"Add Condition","Add Condition"
"Condition Attribute Code","Condition Attribute Code"
"Condition Value For New","Condition Value For New"
"Condition Value For Used","Condition Value For Used"
"Condition Value For Damaged","Condition Value For Damaged"
"Condition Value For Refurbished","Condition Value For Refurbished"
"Default Option For Condition","Default Option For Condition"
"Specify the default condition option for the product if it doesn't have the condition attribute assigned.","Specify the default condition option for the product if it doesn't have the condition attribute assigned."
"Add Custom Properties","Add Custom Properties"
"Custom Properties","Custom Properties"
"Shipping Details","Shipping Details"
"Enable Shipping Details","Enable Shipping Details"
"Enable Free Shipping","Enable Free Shipping"
"Free Shipping Attribute","Free Shipping Attribute"
"This setting allows you to select the free shipping attribute, which will be used to determine the products with the free shipping option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here.","This setting allows you to select the free shipping attribute, which will be used to determine the products with the free shipping option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here."
"Shipping Cost","Shipping Cost"
"Max Shipping Cost","Max Shipping Cost"
"Shipping Country","Shipping Country"
"This field is <b>required</b>.","This field is <b>required</b>."
"Min Days for Handling Time","Min Days for Handling Time"
"Max Days for Handling Time","Max Days for Handling Time"
"Min Days for Transit Time","Min Days for Transit Time"
"Max Days for Transit Time","Max Days for Transit Time"
"Business Days","Business Days"
"Cutoff Time","Cutoff Time"
"<b>Example:</b> 13:30:00","<b>Example:</b> 13:30:00"
"Merchant Return Policy","Merchant Return Policy"
"Enable Merchant Return Policy","Enable Merchant Return Policy"
"Merchant Return Policy Attribute","Merchant Return Policy Attribute"
"This setting allows you to select the merchant return policy attribute, which will be used to determine the products with the merchant return policy option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here.","This setting allows you to select the merchant return policy attribute, which will be used to determine the products with the merchant return policy option. <br/><b>Note:</b> only attributes of ""Yes/No"" type are shown here."
"Applicable Country","Applicable Country"
"Return Policy Category","Return Policy Category"
"Merchant Return Days","Merchant Return Days"
"Return Method","Return Method"
"Return Fees","Return Fees"
"Shipping Fees Amount","Shipping Fees Amount"
"Category (Product List)","Category (Product List)"
"These settings are for the snippet configuration on the category pages.","These settings are for the snippet configuration on the category pages."
"Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>.","Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>."
"Show Product Offers","Show Product Offers"
"Informs search engines about the special <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image08.png"">product offers</a>","Informs search engines about the special <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image08.png"">product offers</a>"
"Adds the beta support for the recently added <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/speakable"">speakable markup</a>.","Adds the beta support for the recently added <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/speakable"">speakable markup</a>."
"Add any CSS Selectors that the store owner wishes to be spoken aloud by Google Assistant/Google Home. You can specify a few values separated by commas.","Add any CSS Selectors that the store owner wishes to be spoken aloud by Google Assistant/Google Home. You can specify a few values separated by commas."
"Disable for NOINDEX Robots","Disable for NOINDEX Robots"
"If set to Yes, hides the snippets on the categories that are not indexed.","If set to Yes, hides the snippets on the categories that are not indexed."
"Landing Page","Landing Page"
"Enable In Open Graph","Enable In Open Graph"
"Adding <a target=""_blank"" href=""http://ogp.me/"">these tags</a> helps the Facebook Crawler pick up the correct title, description and the suitable preview image for the shared page.","Adding <a target=""_blank"" href=""http://ogp.me/"">these tags</a> helps the Facebook Crawler pick up the correct title, description and the suitable preview image for the shared page."
Page,Page
"These settings are for the snippet configuration on the CMS pages.","These settings are for the snippet configuration on the CMS pages."
Website,Website
"Enable In Rich Snippets ▾","Enable In Rich Snippets ▾"
"Enable Search Box","Enable Search Box"
"Website Logo","Website Logo"
"Upload your website logo for the correct sharing on Facebook and using in OpenGraph markup. Allowed file types: PNG, GIF, JPG, JPEG","Upload your website logo for the correct sharing on Facebook and using in OpenGraph markup. Allowed file types: PNG, GIF, JPG, JPEG"
"Facebook App Id","Facebook App Id"
"Can be taken from the <a target=""_blank"" href=""https://developers.facebook.com/apps/"">facebook for developers</a> website.","Can be taken from the <a target=""_blank"" href=""https://developers.facebook.com/apps/"">facebook for developers</a> website."
"Website Name","Website Name"
"Website About","Website About"
Seller,Seller
"These settings are for the snippet configuration of the entire store (your organization).","These settings are for the snippet configuration of the entire store (your organization)."
"Snippet will be added to the home page only. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>.","Snippet will be added to the home page only. The store owner can preview the snippet data on the <a target=""_blank"" href=""https://search.google.com/structured-data/testing-tool"">special page</a>."
"Show Seller Markup on","Show Seller Markup on"
Name,Name
Image,Image
"If the seller rich snippet is enabled, this field is <b>required</b>.<br/>Allowed file types: PNG, GIF, JPG, JPEG.","If the seller rich snippet is enabled, this field is <b>required</b>.<br/>Allowed file types: PNG, GIF, JPG, JPEG."
Description,Description
"Opening Hours","Opening Hours"
"The list of opening hours <br /><b>Example:</b><br />Mo-Fr 10:00-19:00<br />Sa,Su 10:00-22:00","The list of opening hours <br /><b>Example:</b><br />Mo-Fr 10:00-19:00<br />Sa,Su 10:00-22:00"
"Social Links","Social Links"
"The list of social media links <br /><b>Example:</b><br />https://twitter.com/mageworxteam<br />https://www.facebook.com/mageworx","The list of social media links <br /><b>Example:</b><br />https://twitter.com/mageworxteam<br />https://www.facebook.com/mageworx"
Phone,Phone
"This field is <b>recommended</b>.","This field is <b>recommended</b>."
Fax,Fax
Email,Email
Country,Country
Location,Location
"This field is <b>recommended</b>.<br/>Example:</b> Seattle","This field is <b>recommended</b>.<br/>Example:</b> Seattle"
Region,Region
"This field is <b>recommended</b>.<br/><b>Example:</b> WA","This field is <b>recommended</b>.<br/><b>Example:</b> WA"
Street,Street
"This field is <b>recommended</b>.<br/><b>Example:</b><br>20341 Whitworth Institute<br>405 N. Whitworth","This field is <b>recommended</b>.<br/><b>Example:</b><br>20341 Whitworth Institute<br>405 N. Whitworth"
"ZIP Code","ZIP Code"
"Price Range","Price Range"
"This field is <b>recommended</b>.<br/>Example:</b><br />$$$<br />$31-60","This field is <b>recommended</b>.<br/>Example:</b><br />$$$<br />$31-60"
Breadcrumbs,Breadcrumbs
"The breadcrumbs settings add the <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/breadcrumb"">breadcrumb snippet support</a>.","The breadcrumbs settings add the <a target=""_blank"" href=""https://developers.google.com/search/docs/data-types/breadcrumb"">breadcrumb snippet support</a>."
Enable,Enable
"The breadcrumbs will be visible on the <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image14.png"">search results page</a>","The breadcrumbs will be visible on the <a target=""_blank"" href=""https://support.mageworx.com/images/manuals/richsnippets/image14.png"">search results page</a>"
OpenGraph,OpenGraph
"These settings let the store owner to deliver the highest quality posts on Facebook or other social networks and sharing the product links in messengers. Adding Open Graph tags to the store pages will help the Facebook Crawler pick up the right title and description for the shared page, as well as supply them with the most suitable preview image. Visit <a target=""_blank"" href=""https://ogp.me/"">this page</a> to learn more about the way Open Graph tags work.","These settings let the store owner to deliver the highest quality posts on Facebook or other social networks and sharing the product links in messengers. Adding Open Graph tags to the store pages will help the Facebook Crawler pick up the right title and description for the shared page, as well as supply them with the most suitable preview image. Visit <a target=""_blank"" href=""https://ogp.me/"">this page</a> to learn more about the way Open Graph tags work."
"Enable Product OG","Enable Product OG"
"This setting will disable the default magento Open Graph output if enabled","This setting will disable the default magento Open Graph output if enabled"
"Product OG Title","Product OG Title"
"This setting allows you to select what product attribute will be used in OG title for product pages.","This setting allows you to select what product attribute will be used in OG title for product pages."
"Product OG Description","Product OG Description"
"This setting allows you to select what product attribute will be used in OG description for product pages.","This setting allows you to select what product attribute will be used in OG description for product pages."
"Product OG Description Length","Product OG Description Length"
"Please specify a number of characters to crop og:description.","Please specify a number of characters to crop og:description."
"Enable Category OG","Enable Category OG"
"Category OG Title","Category OG Title"
"This setting allows you to select what category attribute will be used in OG title for category pages.","This setting allows you to select what category attribute will be used in OG title for category pages."
"Category OG Description","Category OG Description"
"This setting allows you to select what category attribute will be used in OG description for category pages.","This setting allows you to select what category attribute will be used in OG description for category pages."
"Category OG Description Length","Category OG Description Length"
"Enable Page OG","Enable Page OG"
"Page OG Title","Page OG Title"
"This setting allows you to select what page attribute will be used in OG title for CMS pages.","This setting allows you to select what page attribute will be used in OG title for CMS pages."
"Page OG Description","Page OG Description"
"This setting allows you to select what page attribute will be used in OG description for CMS pages.","This setting allows you to select what page attribute will be used in OG description for CMS pages."
"Enable Website OG","Enable Website OG"
"Twitter Cards","Twitter Cards"
"These settings provide a media-rich experience to those who view your Twitter content. If enabled, the standard Tweet with the website URL will be transformed into the Summary Card and accompanied with an additional title, an extra up-to-200 words description, and an image. To enable the feature, make sure you enter Twitter Username. Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/twitter-for-websites/cards/guides/getting-started"">this page</a> to learn more about Twitter Cards.","These settings provide a media-rich experience to those who view your Twitter content. If enabled, the standard Tweet with the website URL will be transformed into the Summary Card and accompanied with an additional title, an extra up-to-200 words description, and an image. To enable the feature, make sure you enter Twitter Username. Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/twitter-for-websites/cards/guides/getting-started"">this page</a> to learn more about Twitter Cards."
"Enable Product","Enable Product"
"To enable the feature, make sure you enter Twitter Username.","To enable the feature, make sure you enter Twitter Username."
"Product Title","Product Title"
"This setting allows you to select what product attribute will be used in Twitter Cards as the title for product pages.","This setting allows you to select what product attribute will be used in Twitter Cards as the title for product pages."
"Product Description","Product Description"
"This setting allows you to select what product attribute will be used in Twitter Cards as the description for product pages.","This setting allows you to select what product attribute will be used in Twitter Cards as the description for product pages."
"Product Description Length","Product Description Length"
"Please specify a number of characters to crop description.","Please specify a number of characters to crop description."
"Enable Category","Enable Category"
"Category Title","Category Title"
"This setting allows you to select what category attribute will be used in Twitter Cards as the title for category pages.","This setting allows you to select what category attribute will be used in Twitter Cards as the title for category pages."
"Category Description","Category Description"
"This setting allows you to select what category attribute will be used in Twitter Cards as description for category pages.","This setting allows you to select what category attribute will be used in Twitter Cards as description for category pages."
"Category Description Length","Category Description Length"
"Enable Page","Enable Page"
